win,lose,probability
Cleveland Cavaliers,New York Knicks,0.8874916032546754
Golden State Warriors,San Antonio Spurs,0.5471897921437949
Portland Trail Blazers,Utah Jazz,0.6418731786333381
Boston Celtics,Brooklyn Nets,0.930544019199303
Indiana Pacers,Dallas Mavericks,0.559736641871713
Houston Rockets,Los Angeles Lakers,0.8918801893633251
Memphis Grizzlies,Minnesota Timberwolves,0.7086012965347784
Charlotte Hornets,Milwaukee Bucks,0.7784599563158021
Denver Nuggets,New Orleans Pelicans,0.5309762558937083
Miami Heat,Orlando Magic,0.7279054498551265
Oklahoma City Thunder,Philadelphia 76ers,0.9843514890597134
Sacramento Kings,Phoenix Suns,0.6968937863790204
Toronto Raptors,Detroit Pistons,0.6871504909194163
Atlanta Hawks,Washington Wizards,0.5912506944278604
Boston Celtics,Chicago Bulls,0.5483462034600872
Los Angeles Clippers,Portland Trail Blazers,0.5566616068517962
San Antonio Spurs,Sacramento Kings,0.861154824259243
Indiana Pacers,Brooklyn Nets,0.880686820659785
Dallas Mavericks,Houston Rockets,0.520777708709176
Detroit Pistons,Orlando Magic,0.6443298985002675
Miami Heat,Charlotte Hornets,0.5227618026678986
Golden State Warriors,New Orleans Pelicans,0.9211054596205991
Oklahoma City Thunder,Phoenix Suns,0.9239659738690026
Cleveland Cavaliers,Toronto Raptors,0.6077235721324553
Utah Jazz,Los Angeles Lakers,0.9200809316446873
Chicago Bulls,Indiana Pacers,0.5562541446593218
Boston Celtics,Charlotte Hornets,0.544131737038917
Cleveland Cavaliers,Orlando Magic,0.8469125067259308
Portland Trail Blazers,Denver Nuggets,0.7159259804759806
Milwaukee Bucks,Brooklyn Nets,0.7748544944112142
Memphis Grizzlies,New York Knicks,0.6165420034924334
Atlanta Hawks,Philadelphia 76ers,0.9740176803047309
Sacramento Kings,Minnesota Timberwolves,0.6372829644858614
San Antonio Spurs,New Orleans Pelicans,0.894920622074402
Detroit Pistons,Milwaukee Bucks,0.7387223617607909
Dallas Mavericks,Houston Rockets,0.5056379565080764
Los Angeles Clippers,Utah Jazz,0.6809741839212073
Washington Wizards,Memphis Grizzlies,0.5587832063278889
San Antonio Spurs,Miami Heat,0.6824295216682971
Oklahoma City Thunder,Los Angeles Lakers,0.9674291610018662
Golden State Warriors,Phoenix Suns,0.9552974837996938
Atlanta Hawks,Sacramento Kings,0.7324091548234414
Chicago Bulls,Brooklyn Nets,0.9049761167649075
Los Angeles Clippers,Phoenix Suns,0.9068419839866092
Toronto Raptors,Denver Nuggets,0.8329383045757798
Cleveland Cavaliers,Houston Rockets,0.7955192866246186
Detroit Pistons,New York Knicks,0.7209121465381868
Indiana Pacers,Los Angeles Lakers,0.9354170032521429
Miami Heat,Sacramento Kings,0.7570295422752396
Memphis Grizzlies,Minnesota Timberwolves,0.669274061645486
